p0_1,p0_2,p0_3,p0_4,p0_5,p1_0,p1_2,p1_3,p1_4,p1_5,p2_0,p2_1,p2_3,p2_4,p2_5,p3_0,p3_1,p3_2,p3_4,p3_5,p4_0,p4_1,p4_2,p4_3,p4_5,p5_0,p5_1,p5_2,p5_3,p5_4,energy,num_occurrences,valid
0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,-11.693458756120833,276,True
0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-11.693458756120819,307,True
0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,-11.689923715778036,315,True
1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,-11.689923715778022,279,True
0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-11.6896911465046,271,True
0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,-11.6896911465046,285,True
1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,-11.689471793789302,270,True
0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,-11.689471793789295,290,True
0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,-11.689239224515873,255,False
0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,-11.689239224515873,292,False
0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-11.689239224515866,284,False
0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-11.689239224515859,292,False
